廠商代號,廠商名稱,地址,聯絡人,電話,項目,類型,內容,保固起始日,掛載料號,待確認註記
1100019,昇銳,,,,HS鏡頭,報廢條件,"保固外均不送修，直接報廢；報廢原因請落實填寫，不得複製貼上相同狀況",,,"型號:HS鏡頭，需比對系統料號；此區F~H欄另有嵌入的「HS銀色大反鏡頭」判定參考小表，未轉入"
1100019,昇銳,,,,金電容,保固說明,保固超過一年,,,"型號:金電容，需比對系統料號"
1100019,昇銳,,,,金電容,報廢條件,過保不送修，直接報廢,,,"型號:金電容，需比對系統料號"
1100019,昇銳,,,,鏡頭,送修規則,"不管有無整新，鏡頭回來都要擦拭乾淨檢查無誤，氣泡包裝起來，外袋貼條碼",,,"型號:鏡頭，需比對系統料號；與前面「鏡頭」列是否為同一型號重複規則，待人工確認"
1100019,昇銳,,,,HS大吸盤天線,送修規則,回來一年內送修，人為破壞拍照後不送修,,,"型號:HS大吸盤天線，需比對系統料號"
1100019,昇銳,,,,HS大吸盤天線,報廢條件,超過一年就報廢，必免天線異常重覆使用,,,"型號:HS大吸盤天線，需比對系統料號"
1100019,昇銳,,,,AHD 4G DVR(車機),報廢條件,超過三年不修，報廢,,,"型號:AHD 4G DVR，需比對系統料號"
1100019,昇銳,,,,車機,報廢條件,"HS SD DVR、HS 3G DVR、HS 4G DVR 直接報廢",,,"型號:HS SD/3G/4G DVR，需比對系統料號；此則與上一則AHD 4G DVR的關係不完全清楚，建議人工核對是否重複或互斥"
1100019,昇銳,,,,一年三修紀錄表,其他,"此列為超連結至另一份獨立Google Sheet「一年三修紀錄表」",,,"依指示跳過，未轉入連結內容；此區F~H欄另有嵌入的「HS主機送修列表」型號/料號/品名參考表，未轉入"
1100055,錄安,,,,ADAS-P9,送修規則,查詢進貨日期2021/8/24後的都要送修,,,"型號:ADAS-P9，需比對系統料號"
1100055,錄安,,,,ADAS-P9螢幕顯示器,送修規則,"舊款黑色/新款銀色，無條碼都須補條碼後再走送修流程",,,"型號:ADAS-P9螢幕顯示器，需比對系統料號"
1100031,馥鴻,,,,硬碟發報異常,送修規則,"不用附硬碟回廠，如有特殊狀況，個案討論後在寄硬碟一起測試",,,
1100031,馥鴻,,,,鏡頭,保固說明,保固兩年，過保不送修,,,"型號:鏡頭，需比對系統料號"
1100031,馥鴻,,,,條碼寄送,送修規則,一式兩份需分開,,,
1100031,馥鴻,,,,報廢標準,報廢條件,主機超過27個月以上，維修費用過高,,,
1100031,馥鴻,,,,FUHO AHD 4GDVR(4路)雙SD,報廢條件,主機超過3年以上，外觀過髒，維修費用過高,,,"型號:FUHO AHD 4GDVR(4路)雙SD，需比對系統料號"
1100031,馥鴻,,,,七吋VSCC螢幕,報廢條件,超過一年直接報廢,,,"型號:七吋VSCC螢幕，需比對系統料號"
1100031,馥鴻,,,,主機,報廢條件,三年以上報廢（一年內回廠三次/廠商更換新機）,,,"來源：主機配件報廢條件分頁"
1100031,馥鴻,,,,SD卡(黑卡),其他,"是群聯的卡片，但進貨廠商是FUHO；送修也送FUHO，保固一年，過保也一樣給FUHO去查核",,,"型號:SD卡(黑卡/群聯)，需比對系統料號；此列廠商代號欄雖標示1100031但與馥鴻主體規則段落中間隔著集佳(1100003)的硬碟/SD卡條款，位置關係需人工核對"
1100031,馥鴻,,,,群聯硬碟,保固說明,"廠商保固：最新為2026/3/27更新「改為一年」（先前2024/12/10曾更新為兩年，原始為一年）",,,"有修正歷史（一年→兩年→一年），已取最新版本"
1100006,新眾,,,,鏡頭送修原因,送修規則,"(1)如果回廠人員填未填寫原因，一律送修原因填寫(黑畫面、異常請檢測)",,,
1100006,新眾,,,,整新,送修規則,"(2)需整新商品一律給主管做確認後確認是否整新",,,
1100006,新眾,,,,,送修規則,"(3)如果過保外表過於髒污可不送修，如僅更換線材可考慮(可以給LALA看過)",,,"項目欄未填寫具體型號"
1100006,新眾,,,,報廢標準,保固說明,保固兩年，過保不送修,,,
1100006,新眾,,,,車機,報廢條件,"5108不送修；2025/6/6：5508保固一年，過保不送修直接報廢",,,"型號:5108、5508，需比對系統料號"
1100006,新眾,,,,鏡頭,報廢條件,過保固不送修,,,"型號:鏡頭，需比對系統料號；一年內視狀況可整新處理（來源：主機配件報廢條件分頁）"
1200005,睿明,,,,SM-C43-4G DVR,送修規則,"大陸進口：可送修，送大陸",,,"型號:SM-C43-4G DVR（料號1000113），需比對系統料號"
1200005,睿明,,,,SM-C43-4G DVR(CAT1),送修規則,"越南進口：不可送修，自行檢測/整新",,,"型號:SM-C43-4G DVR(CAT1)（料號1000115），需比對系統料號"
1200005,睿明,,,,,其他,"備註：1.硬體不同，韌體相同；2.大陸較貴，越南便宜；3.兩國兩制，不得混用；4.NCC證號不同",,,"此為前兩列共用的補充備註"
1100033,錠勝,,,,保固,保固說明,廠商保固一年,,,
1100033,錠勝,,,,報廢標準,報廢條件,"最新規則（2025/10/15更新）：回廠酒測都先給LALA確認過後再送修（先前2025/8/14修正為「弋揚廠內超過兩年直接報廢」，最原始為「弋揚場內超過兩年半直接報廢」）",,,"有修正歷史（兩次修正），已取最新版本；語意上2025/10/15這條看起來像是流程調整而非單純年限數字修正，與前兩次的「年限報廢」性質略有不同，建議人工核對是否為疊加規則而非取代"
1100033,錠勝,,,,報廢標準,其他,"註明：校正+整新／整新／校正，分別註明在外袋上",,,
1100033,錠勝,,,,有線酒測器,報廢條件,"2025/12/3：維運回來，客戶有使用一年以上直接報廢",,,"型號:有線酒測器，需比對系統料號"
1100033,錠勝,,,,藍芽酒測器,報廢條件,超過兩年半(30個月)即可報廢,,,"來源：主機配件報廢條件分頁"
1100008,康訊,,,,主機,送修規則,請先發mail通知廠商後待廠商回信後再寄出,,,
1100008,康訊,,,,EP-168 4G環保車機,報廢條件,"最新規則（2024/12/17紅字更正）：EP-168車機已停產無料可待，出貨前先進QC測試，測試NG直接報廢",,,"型號:EP-168 4G環保車機（含EP-168），需比對系統料號；此列有多次修正歷史：原始版本「三年以內都需要送修，三年以上不出貨，超過四年直接報廢」→2024/9/23修正為「一年內送修，一年以上三年以下進QC測試NG再送修，三年以上不出貨，超過五年直接報廢」→2024/12/10再修正「超過五年」為「超過四年」→2024/12/17最終修正為停產直接報廢，已取最新版本"
1100008,康訊,,,,EP-168,報廢條件,三年以上報廢,,,"來源：主機配件報廢條件分頁；此則年限（三年）與上方EP-168 4G環保車機分頁最終規則（已停產直接報廢）不一致，建議人工核對何者為現行標準"
1100008,康訊,,,,U1 Plus LTE環保車機,送修規則,"最新規則（2025/6/13修正）：回廠後先集中，出貨前先QC，QC後NG超過3年直接報廢，未超過3年與LALA確認是否送修（先前2025/1/6原始規則為「回廠後先集中，出貨前先QC，NG時再與LALA確認是否送修」）",,,"型號:U1 Plus LTE環保車機，需比對系統料號；有修正歷史，已取最新版本"
1100008,康訊,,,,U1(V2),報廢條件,三年以上報廢,,,"來源：主機配件報廢條件分頁；型號:U1(V2)，需比對系統料號，與上方「U1 Plus LTE環保車機」是否為同一系列待核對"
1100008,康訊,,,,U1 LITE PLUS,報廢條件,三年以上報廢,,,"來源：主機配件報廢條件分頁；型號:U1 LITE PLUS，需比對系統料號"
1100003,集佳,,,,刷卡機,送修規則,"(1)過保一律不送修（過保檢測廠商須收費），如有特殊狀況，個案討論（2022/1/10）",,,"型號:刷卡機，需比對系統料號"
1100003,集佳,,,,刷卡機,送修規則,(2)請先mail通知廠商後，待廠商回信後再寄出（2022/1/25）,,,
1100003,集佳,,,,刷卡機,送修規則,"(3)皆須內部檢測，外觀過髒(除外)，可直接報廢(外觀判定後須再與Lala確認)",,,"此區F~H欄另有嵌入的「PHISON RMA流程/客費收費標準」參考表與PHISON匯款資訊等文件影像，未轉入"
1100003,集佳,,,,送修硬碟需確認保固日,送修規則,"送修硬碟需先至保固查詢網頁確認保固日（https://www.afastor.com.tw/warrantyQuery.aspx?cat=4）",,,
1100003,集佳,,,,硬碟(通用),報廐條件,保固過期一律報廢,,,
1100003,集佳,,,,硬碟保固,保固說明,HDD系列廠商保固2年,,,
1100003,集佳,,,,SSD硬碟-威剛,保固說明,"最新規則（2026/1/28修正）：弋揚過四年就報廢（先前為「廠商保固五年；弋揚三年就報廢(因寫入次數導致消耗故需報廢)」）",,,"型號:SSD硬碟-威剛，需比對系統料號；有修正歷史，已取最新版本"
1100003,集佳,,,,SD卡(集佳),報廐條件,2026/1/28修正：弋揚過五年就報廢,,,"型號:SD卡，需比對系統料號"
1100003,集佳,,,,MicroSD 64GB,其他,用銀色條碼貼,,,"型號:MicroSD 64GB，需比對系統料號"
1100003,集佳,,,,群聯硬碟(場內判斷),報廐條件,"場內判斷：四年以下送修、四年以上報廢，修還新品0元重入、舊條碼報廢(先依年限久遠的開始報廢)，主要目的為報廢舊條碼、更新保固起始日；2026/1/28修正：弋揚過五年就報廢",,,"有修正歷史，已取最新版本"
1100003,集佳,,,,SD卡金色(SanDisk),報廐條件,"四年以下送修、四年以上報廢，修還新品0元重入、舊條碼報廢(先依年限久遠的開始報廢)；2026/1/28修正：弋揚過五年就報廢",,,"型號:SD卡金色(SanDisk)，需比對系統料號；有修正歷史，已取最新版本"
1100003,集佳,,,,SD卡藍色(金士頓),其他,"五年保(超過五年就淘汰)，只能寄給諧宸，不是寄給金士頓，也不能線上申請，金士頓不收",,,"型號:SD卡藍色(金士頓)，需比對系統料號；出貨對象標示為諧宸(1100030)，與本區主要廠商代號1100003(集佳)不同，建議人工核對正確歸屬"
1100003,集佳,,,,SD卡/硬碟送修共通規則,送修規則,一年內及折機、停用一律走內部測試流程(插卡讀取是否OK),,,
1100003,集佳,,,,產品外觀,送修規則,SD卡及硬碟上的貼紙要撕除乾淨再送修（廠商要刷原商品條碼）,,,
1100003,集佳,,,,記憶卡地址,其他,"增你強股份有限公司 114065台北市內湖區新湖二路250巷8號 2792-8787分機375 OR 377",,,"此為記憶卡送修地址，非集佳主要地址"
1100003,集佳,,,,金士頓服務中心地址,其他,台北市中正區民生東路三段8號6樓4-1室 02-23911336,,,
1100003,集佳,,,,硬碟地址,其他,"富基電通股份有限公司 台北市南港區南港路三段48號10樓 02-2788-8099轉1322、1323；聯絡信箱csc@afastor.com.tw",,,
1100003,集佳,,,,刷卡機,送修規則,"過保一律不送修（過保檢測廠商須收費），如有特殊狀況，個案討論",,,"來源：主機配件報廢條件分頁，與前述(1)內容重複，僅合併為單一備註來源"
1100030,諧宸,,,,硬碟進貨,送修規則,新硬碟進貨會直接貼上保固截止日期，爾後即可以貼紙日期為依據,,,
1100030,諧宸,,,,主機,報廐條件,"三年以上報廢；廠商保固五年，回廠確認壽命(硬碟檢測SOP流程)",,,"來源：主機配件報廢條件分頁；此列項目寫「主機」但內容談硬碟壽命檢測，語意略有落差，建議人工核對"
1100030,諧宸,,,,硬碟HDD,報廐條件,二年以上報廢；HDD系列廠商保固2年,,,"來源：主機配件報廢條件分頁"
1100030,諧宸,,,,SD,報廐條件,二年以上報廢；廠商永久保固，超過一年直接給廠商更換新品,,,"來源：主機配件報廢條件分頁；「廠商永久保固」與「超過一年直接給廠商更換新品」語意上略有矛盾，建議人工向廠商確認"
中華電信,中華電信,新北市新店區中正路535號9樓 神腦國際企業股份有限公司,陳彥銘先生(資訊商品一課),02-22183588#1723,地址,送修規則,送修一律送屏東-神腦國際。業助會幫忙登陸神腦維修平台。任何問題聯絡找陳先生,,,"原始表格「廠商代號」欄為空白，暫填「中華電信」；此列廠商定位（是設備廠商還是電信業者代稱）不完全確定，建議人工核對正式廠商代號"
中華電信,中華電信,,,,屏東地址,其他,"神腦國際(屏東服務中心)-Conan 李先生 08 733-6261/27789738#305；900屏東市民生路343號(神腦樓)",,,
中華電信,中華電信,,,,M953送修須知,送修規則,"最新規則（2025/10/15）：廠商過保，廠內測NG且超過三年直接報廔；線上報修：https://rmatw.dlink.com.tw(帳:80675548、密:LJDNJELQ)",,,"型號:M953（DLINK），需比對系統料號；「報廔」疑為「報廢」誤字"
中華電信,中華電信,,,,D-Link全球營運總部,其他,台北市內湖區新湖三路289號4F,,,
中華電信,中華電信,,,,寄郵件,送修規則,cht998700@senao.com.tw 維修品狀況可洽詢吳小姐,,,
中華電信,中華電信,,,,寄送對象分類,送修規則,"DLINK-M953上平台寄台北；MR600寄屏東；M606報廢不銷售",,,"型號:M606，需比對系統料號；此區F~H欄另有嵌入的D-Link維修中心聯絡資訊/回覆信件截圖，未轉入"
紐頓,紐頓(經銷商),新北市林口區粉寮路2段5-2號,,02-2602-8111#9,TP-LINK MR600,送修規則,"亦可電話聯絡建達提供SN條碼查詢後再寄送建達；或先查詢SN條碼(https://www.tp-link.com.tw/warranty/)，再依照查詢結果的廠商去寄，送修明細印出並隨箱附上",,,"「廠商代號」欄空白，暫填「紐頓」；型號:MR600，需比對系統料號；建達/紐頓/捷元之間的角色關係(經銷商/送修據點)不完全清楚，建議人工核對"
紐頓,紐頓(經銷商),,,,建達(電話報修據點),其他,新北市林口區粉寮路2段5-2號,,,
紐頓,紐頓(經銷商),,,,捷元(線上報修據點),其他,"台北市內湖區瑞光路66巷31號5樓；線上報修 https://www.genuine.com.tw/Service/repairOnline",,,
紐頓,紐頓(經銷商),,,,相關資料,其他,https://www.tp-link.com.tw/support/replacement-warranty/,,,
110034,ORO 翔鑫,,,,胎壓週邊,保固說明,所有主機/配線 保固兩年兩個月,,,"廠商代號寫作6位數「110034」，與其他多為7位數「11000XX」格式不同，建議人工核對是否有誤植或本身即為不同編碼規則"
110034,ORO 翔鑫,,,,胎壓週邊,報廐條件,器嘴、螺絲、耗材均不保固,,,
110034,ORO 翔鑫,,,,胎壓送修/螢幕,送修規則,"回廠檢測：1.將SET解鎖(下指令)，測試基本功能:送電、配對、單位切換、胎壓設定、胎溫設定，以上功能正常即可入庫(需擦拭)/不正常即送修；2.外觀破裂損壞，送修請標註需整新",,,"型號:螢幕，需比對系統料號"
110034,ORO 翔鑫,,,,螢幕,報廐條件,2025/11/25：1代螢幕已停產，回廠有故障直接報廢,,,"型號:螢幕(1代)，需比對系統料號"
110034,ORO 翔鑫,,,,胎壓發射器,送修規則,"回廠檢測：1.確認是否為保固內，請依照上一個出貨時間為起始時間(非進貨日期)；一年以上報廢、一年以下QC檢測；2.保內故障送廠檢修，廠商更換新品；2025/6/24：批號2436T的NG直接退回廠商",,,"型號:胎壓發射器，需比對系統料號"
110034,ORO 翔鑫,,,,胎壓發射器,報廐條件,3.保內外觀損壞，直接場內報廢處理,,,"型號:胎壓發射器，需比對系統料號"
110034,ORO 翔鑫,,,,胎壓週邊,報廐條件,,,,"來源：主機配件報廢條件分頁；該分頁此列報廢條件/備註欄皆為空白，未提供具體標準"
110047,系統電子(允成),,,,全部退貨,送修規則,都不送修及進貨，一律收集完退貨處理,,,"廠商代號寫作6位數「110047」，與多數7位數格式不同，同ORO翔鑫，建議人工核對"
1100020,橘霖,,,,線材,送修規則,非人為破壞的再送修，其他一律不要送,,,"型號:線材，需比對系統料號"
1100020,橘霖,,,,條碼寄送,送修規則,"寫上品號辨識，一式兩份貼紙，需連續印出",,,
1100020,橘霖,,,,鏡頭/螢幕,保固說明,若有橘霖提供鏡頭或螢幕，保固都只有一年，超過一年廠商退修,,,"型號:鏡頭/螢幕，需比對系統料號"
1100020,橘霖,,,,線材(條碼管),送修規則,有條碼管之線材，一年內故障需與廠商告知，並將線材寄給廠商,,,
1100020,橘霖,,,,線材,報廐條件,線材均無法維修，直接由廠商依保固判斷更換,,,"來源：主機配件報廢條件分頁；備註：有條碼之產品保固一年，線材接頭處一年內損壞均由廠商負責"
星睿奇,星睿奇,台北市內湖區瑞湖街103號3樓 詹鎧綸先生收,詹鎧綸先生,,三星/記憶卡,保固說明,"保固10年，換一還一",,,"廠商代號欄空白，暫填「星睿奇」"
星睿奇,星睿奇,,,,三星/記憶卡,送修規則,"送修備註不得備註相關車用字樣（原表紅字強調）",,,
碧中,碧中,,,betty@bs-mova.com.tw,寄信,送修規則,"收件人Betty；副本 菲、LALA、Candy",,,"廠商代號欄空白，暫填「碧中」；聯絡人姓氏後無中文全名，僅英文名Betty"
Streamax睿明,Streamax睿明,澳門宋玉生廣場180號東南亞商業中心11樓L座,农颜,+853 65654488/+86 199 65654488,C43送修地址,送修規則,"送修地址：Alameda Dr. Carlos D' Assumpcao No. 180 Edif. Southeast Asia Plaza 11 Andar, L Macau",,,"型號:C43，需比對系統料號；廠商代號欄空白，暫填「Streamax睿明」；此「睿明」與前面1200005睿明是否為同一廠商的不同代稱，或是兩個不同實體，需人工核對（1200005睿明的產品為SM-C43-4G DVR，型號同樣含C43字樣，高度疑似重複或有關聯）"
Streamax睿明,Streamax睿明,,,,保固,報廐條件,超過一年不送修,,,
Streamax睿明,Streamax睿明,,,,貼紙寄送地址,其他,"深圳銳明技术股份有限公司 深圳市南山区西丽学苑大道1001号南山智园B1栋20楼收发室 收件人:许朝阳 18929357780",,,
Streamax睿明,Streamax睿明,,,,MAIL通知,送修規則,"收件人to tammy，副本tammy@streamax.com、demi@streamax.com、nonggu@streamax.com",,,
精聯,精聯,,,,EP168 光罩掃描器,報廐條件,超過三年直接報廢,,,"廠商代號欄空白，暫填「精聯」；型號:EP168 光罩掃描器，需比對系統料號；來源：主機配件報廢條件分頁未收錄此廠商，僅見於主分頁"
呈岳,呈岳,,,,CR-804K AHD 小方攝影機,送修規則,回廠QC先測，NG先集中,,,"廠商代號欄空白，暫填「呈岳」；型號:CR-804K AHD 小方攝影機，需比對系統料號"
英華達(全家寶),英華達(全家寶),,,,血壓計,保固說明,保固2年，送修時先至官網詢問客服,,,"廠商代號欄空白，暫填「英華達(全家寶)」；型號:血壓計，需比對系統料號"
英華達(全家寶),英華達(全家寶),,,,臂帶,報廐條件,耗材不保固，故障直接報廢,,,"型號:臂帶，需比對系統料號"
艾德斯,艾德斯,,,,Mobileye ADAS(AM),送修規則,"保固1年，過保送檢測酌收1500，送修前先確認",,,"廠商代號欄空白，暫填「艾德斯」；型號:Mobileye ADAS(AM)，需比對系統料號"
捷世林,捷世林,,,,8000062 S208 16-1(JAS車機),送修規則,"技師寄回後，Mandy接收核對完會貼上8000062 S208 16-1(JAS車機)虛擬條碼；一律送修給廠商安裝模組，送修原因:加裝模組；完修後需更換車機品號名、更換條碼；看需求要更換日系還歐系，之後會有人教學如何歐日系切換；(虛擬車機倉要保持有庫存的狀態，系統才會自動掛到技師身上)",,,"廠商代號欄空白，暫填「捷世林」；型號:8000062 S208 16-1(JAS車機)，需比對系統料號；內容較長，屬內部作業流程說明"
捷世林,捷世林,,,,1000140 JL-S208 16-1 數位行車記錄器,送修規則,"最新規則：2026/6/5廠內可自行清空車機資料（原始規則：一律送修給廠商安裝模組，送修原因加裝模組，完修後需更換車機品號名、更換條碼，並視需求切換日系/歐系）",,,"型號:1000140 JL-S208 16-1 數位行車記錄器，需比對系統料號；有更新歷史(2026/1/28新增保固說明、2026/6/5新增清空資料可自理)"
捷世林,捷世林,,,,1000140 JL-S208 16-1 數位行車記錄器,保固說明,2026/1/28：主機及配件保固一年,,,"型號:1000140 JL-S208 16-1 數位行車記錄器，需比對系統料號"
公信,公信,,,,16-1系列車機,保固說明,保固2年,,,"廠商代號欄空白，暫填「公信」"
公信,公信,,,,配件,保固說明,保固1年,,,
公信,公信,,,,送修,送修規則,"送修清空車機資料會收費；有收費之主機將會延保一年",,,
1200007,百為 BEWIN VIDEO,广东省深圳市南山区平山路西丽云谷二期9栋206,李焕金,+86 15016278805,,其他,海外廠商地址與聯絡人資料（來源：海外廠商地址分頁）,,,
